source_file,note_type,note
ApexFreight_Q2_2025.pdf,entity_notes,"Apex Freight Solutions Inc. is the successor entity to FleetLink Logistics Network. The rebrand was completed effective 1 April 2025. This report is the first issued under the Apex Freight Solutions Inc. corporate name. Per footnote (1), all historical metrics referenced in the document relate to the same operating business."
ApexFreight_Q2_2025.pdf,definition_notes,"Per footnote (2), Recognized Revenue (transaction) and SaaS Tool Fee Revenue are disclosed separately for the first time in Q2 2025. Total Recognized Revenue (9.3M) is the sum of both lines and was selected as the canonical recognized_revenue value. Contribution Margin per Shipment ($2.30) is discussed in commentary only and not tabled — not a canonical metric in scope."
CarbonTrack_Q2_2025.pdf,entity_notes,"No rebrand or rename noted. Company is referred to consistently as ""CarbonTrack Analytics Corp."" throughout the document."
CarbonTrack_Q2_2025.pdf,definition_notes,"1. 'Contracted ARR' excludes one-time integration fees and professional services revenue (Footnote 1). 2. 'Gross Margin' excludes customer success and data science costs, which is a narrower definition than a standard gross margin (Footnote 3). 3. 'Net Revenue Retention' and 'Logo Churn' are both reported on an LTM (last twelve months) basis rather than a point-in-time quarterly basis. 4. A one-time partnership integration fee of +$0.2M is excluded from ARR and recurring revenue per non-recurring items disclosure. 5. 'Paying Entities' counts each separately contracted reporting entity; group structures may consolidate multiple (Footnote 2) — not mapped to a canonical metric but noted for context."
ClearPay_Q2_2025.pdf,entity_notes,No rebrand or rename noted. ClearPay Technologies Ltd. is the legal entity name as stated in the document.
ClearPay_Q2_2025.pdf,definition_notes,"Cash & Restricted Cash includes $6.2M in segregated client float accounts required under U.S. state money transmitter regulations; available operating cash of $32.2M is the liquidity figure net of restricted cash. Effective Take Rate is computed as Net Revenue divided by TPV, excluding Platform Access and Implementation Services revenue. Total Recognized Revenue is the sum of three revenue lines: Net Revenue (take-rate based), Platform Access Revenue, and Implementation Services Revenue — verbatim total used as recognized_revenue. No ARR, NDR, logo churn, EBITDA, or monthly net burn metrics were present in the document."
ConstructIQ_Q2_2025.pdf,entity_notes,No rebrand or corporate identity change mentioned. Company is ConstructIQ Solutions Inc. throughout the document.
ConstructIQ_Q2_2025.pdf,definition_notes,"1. ARR excludes month-to-month arrangements (less than 2% of accounts); reflects signed, active contracts only (footnote 1). 2. 'Net Revenue Retention (LTM)' is the label used in lieu of NDR/NRR; computed on a last-twelve-months basis (footnote 2). 3. Logo Churn is also reported on an LTM basis. 4. 'Quarterly Net Burn' is reported per quarter, not per month — extracted verbatim and flagged accordingly. 5. Daily Active User rate is a 30-day trailing average at period end (footnote 3)."
FleetLink_Q1_2025.pdf,entity_notes,"No rebrand or rename explicitly stated, but footnote (2) notes that 'Gross Transaction Revenue' may differ from a prior label 'Platform Revenue', suggesting a possible historical label change."
FleetLink_Q1_2025.pdf,definition_notes,"Footnote (2): 'Gross Transaction Revenue' reflects all fees earned on completed shipments and may differ from the prior 'Platform Revenue' label — possible metric rename/definition change vs prior reporting periods. Footnote (3): 'Contribution Margin per Shipment' is post-carrier-cost, pre-overhead allocation — not mapped to a canonical metric. Footnote (1): On-Time Delivery Rate of 95.4% disclosed in footnote pending format review — not a canonical metric, not extracted."
FleetLink_Q4_2024.pdf,entity_notes,No rebrand or rename mentioned. Company is referred to consistently as 'FleetLink Logistics Network' throughout the document.
FleetLink_Q4_2024.pdf,definition_notes,"Platform Revenue is transaction-based with additional SaaS tool fees for larger accounts; labelled '(recognized)' indicating it is recognized revenue. Gross Margin reflects carrier pricing incentive optimisation. No metric definition changes vs prior quarters noted in the document. Non-cash D&A of 0.9M disclosed in footnote (4) but EBITDA is not reported. Contribution Margin per Shipment is post-carrier-cost, pre-overhead allocation (not mapped to a canonical metric)."
LendBridge_Q1_2025.pdf,entity_notes,No rebrand or rename mentioned. Company operates as LendBridge Capital Corp. throughout the document.
LendBridge_Q1_2025.pdf,definition_notes,"Loan yields are presented at sector level for the first time in Q1 2025 as part of a refreshed portfolio monitoring framework. Credit Loss Rate is on a last-twelve-months (LTM) basis, net of recoveries. Operating margin metrics (Pre-Provision / Adjusted) are under review and not reported this period. No canonical EBITDA, ARR, NDR, logo churn, cash balance, or monthly net burn metrics were present in the document."
LendBridge_Q2_2024.pdf,entity_notes,"No rebrand or corporate identity change mentioned. Company is referred to consistently as ""LendBridge Capital Corp."" throughout the document."
LendBridge_Q2_2024.pdf,definition_notes,"1. Gross Margin (58%): Per footnote (3), defined as interest income net of cost of funds only — not a standard gross margin calculation inclusive of all direct costs. 2. Pre-Provision Operating Margin (29%): Mapped to EBITDA as the closest available profitability metric; per footnote (2), excludes loan loss provisions and non-recurring items — not a standard EBITDA definition. 3. Net Charge-off Rate (4.2%): LTM basis per footnote (1); includes write-offs net of recoveries. Not mapped to any canonical metric (no logo_churn or NDR equivalent for a lending business). 4. Recognized Revenue ($10.1M): For a specialty finance platform, revenue composition includes interest income, origination fees, and ancillary treasury services; the $0.7M 'Fee & Other Income' line appears separately, creating some ambiguity about whether $10.1M is a subtotal or all-in figure."
LendBridge_Q2_2025.pdf,entity_notes,"No rebrand or rename noted. The entity is referred to as ""LendBridge Capital Corp."" throughout."
LendBridge_Q2_2025.pdf,definition_notes,"
(1) Net Charge-off Rate (LTM) is equivalent to 'Credit Loss Rate' used in Q3–Q4 2024; reported on a last-twelve-months basis — not extracted as it does not map to a canonical metric.
(2) Pre-Provision Operating Margin reinstated per updated board reporting policy; equivalent to 'Adjusted Operating Margin' in Q3 2024 — not extracted as it does not map to a canonical metric.
(3) Provision Coverage Ratio = total loan loss reserves / LTM net charge-offs; introduced Q2 2025 — not extracted as it does not map to a canonical metric.
(4) Gross Margin reflects interest income net of cost of funds; excludes provisions and operating expenses.
"
LendBridge_Q3_2024.pdf,definition_notes,Adjusted Operating Margin (31% in Q3 2024) was relabelled from 'Pre-Provision Operating Margin' to align with internal management reporting conventions adopted in Q3 2024. It excludes loan loss provisions and non-recurring items. This metric is not among the canonical metrics and was not extracted.
LendBridge_Q4_2024.pdf,entity_notes,No rebrand or rename mentioned. LendBridge Capital Corp. is described as a specialty finance platform providing working capital solutions to SMEs across North America.
LendBridge_Q4_2024.pdf,definition_notes,Footnote (1): 'Credit Loss Rate' replaces prior terminology 'Net Charge-off Rate'; calculated equivalently on a last-twelve-months (LTM) basis. Footnote (3): Gross Margin reflects net interest income net of cost of funds; excludes provisions and operating expenses. Footnote (2): Adjusted Operating Margin is not reported this quarter.
MediSight_Q1_2025.pdf,entity_notes,No rebrand or rename noted. MediSight Data Platform Inc. is the operating entity.
MediSight_Q1_2025.pdf,definition_notes,"Per footnote (1): 'Contracted Annual Recurring Revenue' is the current label for what was previously reported as 'Contracted ARR' — treated as equivalent. Per footnote (3): Gross Margin excludes implementation and customer success costs, which are classified as operating expenses rather than cost of revenue."
MediSight_Q2_2025.pdf,entity_notes,"No rebrand or rename mentioned. Company is referred to as MediSight Data Platform Inc. (""MediSight"") throughout."
MediSight_Q2_2025.pdf,definition_notes,"
(1) Contracted ARR represents annualized value of signed, active contracts; excludes renewals under negotiation.
(2) Expansion ARR % (reported as 'Expansion ARR as % of Total ARR', 87%) is described as equivalent to 'ARR from Existing Accounts' metric used in prior quarters — definition rename noted but metric not mapped to a canonical field.
(3) Gross Margin excludes implementation and customer success costs per footnote (4) — non-standard definition vs. a fully-loaded gross margin.
(4) Average remaining contract term not reported this quarter; last disclosed as 3.2 years in Q1 2025.
"
MediSight_Q4_2024.pdf,entity_notes,"No rebrand or corporate identity change mentioned. Company is referred to as MediSight Data Platform Inc. (""MediSight"") throughout."
MediSight_Q4_2024.pdf,definition_notes,"Contracted ARR (footnote 1): represents annualized value of signed, active contracts — not a standard bookings or billings figure. Gross Margin (footnote 3): excludes implementation and customer success costs, which is a narrower definition than fully-loaded gross margin. ARR Growth (YoY) (footnote 2): computed versus the equivalent period of the prior fiscal year — extracted as a label in the table but not mapped to a canonical metric. All figures are management estimates and unaudited (footnote 4)."
NovaCloud_Q1_2025.pdf,entity_notes,No rebrand or rename noted. Company is identified as NovaCloud Analytics Inc. throughout the document.
NovaCloud_Q1_2025.pdf,definition_notes,Footnote (1): 'NRR (Net Revenue Retention)' is explicitly stated to be equivalent to 'Net Dollar Retention' used in prior reporting periods — label has changed but definition is the same. Footnote (2): 'ARR per Full-Time Employee' is a new efficiency metric introduced in Q1 2025 board reporting; not mapped to a canonical metric and therefore not extracted. Both Logo Churn and NRR are presented on an LTM (last-twelve-months) basis.
NovaCloud_Q2_2024.pdf,entity_notes,"No rebrands or corporate identity changes noted. Company is referred to as ""NovaCloud Analytics Inc."" and abbreviated as ""NovaCloud"" throughout the document."
NovaCloud_Q2_2024.pdf,definition_notes,"1. 'Total Billings' is used as the revenue label; footnote (1) states it includes all revenue recognized in the period under ASC 606, but the billing label may imply a different definition than standard recognized revenue — flagged accordingly. 2. Net Dollar Retention and Logo Churn Rate are both presented on a last-twelve-months (LTM) basis per footnote (2), rather than a point-in-time or quarterly basis. 3. Monthly Net Burn excludes one-time items per footnote (3)."
NovaCloud_Q2_2025.pdf,entity_notes,"No rebrand or rename noted. Company is referred to as ""NovaCloud Analytics Inc."" and abbreviated as ""NovaCloud"" throughout."
NovaCloud_Q2_2025.pdf,definition_notes,"
(1) ""Net Dollar Retention"" is presented on a last-twelve-months (LTM) basis in Q2 2025; it was labelled ""NRR"" in Q1 2025 reporting — the metric definition is described as equivalent.
(2) ""ARR per Full-Time Employee"" was introduced as a recurring board metric in Q1 2025; this metric is not among the canonical set and was not extracted.
(3) Monthly Net Burn excludes non-cash stock-based compensation of $0.38M.
(4) Logo Churn is also presented on an LTM basis.
"
NovaCloud_Q3_2024.pdf,entity_notes,"No rebrand or rename mentioned. Company is referred to as NovaCloud Analytics Inc. (""NovaCloud"") throughout."
NovaCloud_Q3_2024.pdf,definition_notes,Net Dollar Retention and Logo Churn are both calculated on a last-twelve-months (LTM) basis (footnote 2). Recognized Revenue is reported under ASC 606 on a ratable basis (footnote 1). Cash Runway (~28 months) is present in the table but does not map to a canonical metric and was not extracted. Pipeline data was not included this quarter per footnote 3.
NovaCloud_Q4_2024.pdf,entity_notes,No rebrand or rename noted. The company is referred to consistently as NovaCloud Analytics Inc.
NovaCloud_Q4_2024.pdf,definition_notes,Footnote (1): 'Net Revenue is equivalent to Recognized Revenue in prior periods; terminology updated for board reporting.' Footnote (2): Gross Margin and Net Dollar Retention are discussed in the commentary section only; not separately tabled. Footnote (3): Logo Churn Rate is calculated on a last-twelve-months (LTM) basis. Net Dollar Retention is also stated on a trailing-twelve-month basis per commentary.
PeopleFlow_Q1_2025.pdf,entity_notes,"No rebrand of the company itself noted. Per footnote (3), 'Active Subscriptions' is equivalent to 'Paying Customer Logos' used in prior periods; terminology updated in Q1 2025. Note: 'Active Subscriptions' (395) is not a canonical metric and has not been extracted."
PeopleFlow_Q1_2025.pdf,definition_notes,"Footnote (2): 'Net Pound Retention (NPR)' is a relabelling of 'Net Dollar Retention' used in Q4 2024, updated to reflect GBP as the reporting currency — no change in underlying definition. Footnote (3): 'Active Subscriptions' replaces 'Paying Customer Logos' from prior periods. Footnote (4): Logo Churn is annualised on a last-twelve-months basis."
PeopleFlow_Q2_2025.pdf,entity_notes,"No rebrand or rename noted. Company is referred to as PeopleFlow HR Systems Ltd. (""PeopleFlow"") throughout."
PeopleFlow_Q2_2025.pdf,definition_notes,1. 'Net Dollar Retention' is computed in GBP; the label is retained for cross-portfolio comparability (footnote 4). Mapped to net_dollar_retention with note. 2. Q1 2025 Quarterly Revenue was restated from 4.7M to 4.6M to reflect the reversal of a contract modification initially recognised in Q1 but subsequently unwound in April 2025 (footnote 2); the Q1 2025 standalone investor report has not been reissued. 3. Gross Margin (73%) is discussed in commentary and footnoted (footnote 3) as not separately tabled this period; sourced from prose. 4. Module Attach Rate (2.3 modules/acct) introduced Q2 2025 per footnote 5; not a canonical metric and therefore not extracted.
PeopleFlow_Q4_2024.pdf,entity_notes,"No rebrand or rename mentioned. The company is referred to consistently as PeopleFlow HR Systems Ltd. (""PeopleFlow"") throughout the document."
PeopleFlow_Q4_2024.pdf,definition_notes,"1. 'Net Dollar Retention (LTM)' is computed in GBP; the label is retained for cross-portfolio comparability (footnote 2). Mapped to net_dollar_retention. 2. Gross Margin excludes customer success costs, covering cloud hosting and third-party data costs only (footnote 4). 3. Annual Logo Churn is annualised on a last-twelve-months basis (footnote 3). 4. No cash_balance, ebitda, or monthly_net_burn figures were present in this report and have been omitted."
Portfolio_Snapshot_Q2_2025.pdf,entity_notes,CarbonTrack was formerly named 'CarbonTrack Analytics Corp.' per the document prose and footnote (4). The document uses 'CarbonTrack' throughout as the operating name.
Portfolio_Snapshot_Q2_2025.pdf,definition_notes,"1. TalentVault reports 'Net Revenue Retention (LTM)' and 'Gross Revenue Retention (LTM)' instead of the more common Net Dollar Retention / logo churn framing; both are LTM measures. 'Gross Revenue Retention (LTM)' of 91% is not mapped to a canonical metric and is not extracted. 2. NovaCloud 'Logo Churn (LTM)' and TalentVault 'Net Revenue Retention (LTM)' are both measured on a last twelve months basis, not a point-in-time or single-quarter basis. 3. MediSight Contracted ARR of 27.9M is sourced from a standalone quarterly report and a document footnote, not from the summary table. 4. CarbonTrack labels NDR as 'Net Revenue Retention' rather than 'Net Dollar Retention'. 5. Footnote (1) explicitly states that terminology has not been standardised across companies. 6. MediSight 'YoY Revenue Growth' of 11% is not a canonical metric and has not been extracted. 7. TalentVault 'Enterprise Logos (>$100k ARR)' of 48 is not a canonical metric and has not been extracted. 8. CarbonTrack 'Paying Entities' of 1,042 is not a canonical metric and has not been extracted. 9. TalentVault headcount is explicitly excluded from this summary per footnote (3)."
TalentVault_Q2_2025.pdf,entity_notes,No rebrand or rename mentioned.
TalentVault_Q2_2025.pdf,definition_notes,"1. ""Contracted ARR"" reflects signed, active contracts and includes multi-year deals at full annualized value (footnote 1). 2. ""Net Revenue Retention (LTM)"" is measured on a last-twelve-months basis and includes upsell and cross-sell; ""Gross Revenue Retention (LTM)"" excludes expansion — GRR is not mapped to a canonical metric and was not extracted. 3. ""Monthly Net Burn"" excludes non-cash stock-based compensation of $0.42M/quarter (footnote 3). 4. Logo churn and EBITDA are absent from the document and were not extracted."
